Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 5 - 5 - 2013,Liga,FC Barcelona,Real Betis,Real Betis,60,3,2,Free kick,Left foot,Won
 23 - 2 - 2013,Liga,FC Barcelona,Sevilla,Sevilla,60,2,1,,Left foot,Won
 27 - 1 - 2013,Liga,FC Barcelona,Osasuna,Osasuna,58,5,1,,Left foot,Won
 27 - 1 - 2013,Liga,FC Barcelona,Osasuna,Osasuna,56,4,1,,Left foot,Won
 27 - 1 - 2013,Liga,FC Barcelona,Osasuna,Osasuna,28,2,1,Penalty,Left foot,Won
 16 - 12 - 2012,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,88,4,1,,Left foot,Won
 16 - 12 - 2012,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,57,3,1,,Left foot,Won
 17 - 11 - 2012,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,60,3,1,,Left foot,Won
 7 - 10 - 2012,Liga,FC Barcelona,Real Madrid,Real Madrid,61,2,1,Free kick,Left foot,Draw
 7 - 10 - 2012,Liga,FC Barcelona,Real Madrid,Real Madrid,31,1,1,,Left foot,Draw
 19 - 8 - 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,16,3,1,,Left foot,Won
 19 - 8 - 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,11,2,1,,Left foot,Won
 2 - 5 - 2012,Liga,FC Barcelona,Malaga,Malaga,64,4,1,,Left foot,Won
 2 - 5 - 2012,Liga,FC Barcelona,Malaga,Malaga,59,3,1,Penalty,Left foot,Won
 2 - 5 - 2012,Liga,FC Barcelona,Malaga,Malaga,35,2,1,Penalty,Left foot,Won
 20 - 3 - 2012,Liga,FC Barcelona,Granada,Granada,86,5,2,Field goal,Left foot,Won
 20 - 3 - 2012,Liga,FC Barcelona,Granada,Granada,67,3,2,Field goal,Left foot,Won
 19 - 2 - 2012,Liga,FC Barcelona,Valencia,Valencia,85,4,1,,Left foot,Won
 19 - 2 - 2012,Liga,FC Barcelona,Valencia,Valencia,76,3,1,Rebound,Left foot,Won
 19 - 2 - 2012,Liga,FC Barcelona,Valencia,Valencia,27,2,1,Rebound,Left foot,Won
 19 - 2 - 2012,Liga,FC Barcelona,Valencia,Valencia,22,1,1,,Left foot,Won
 15 - 1 - 2012,Liga,FC Barcelona,Real Betis,Real Betis,86,4,2,Penalty,Left foot,Won
 9 - 4 - 2011,Liga,FC Barcelona,UD Almeria,UD Almeria,90+2,3,1,,Left foot,Won
 9 - 4 - 2011,Liga,FC Barcelona,UD Almeria,UD Almeria,53,1,1,Penalty,Left foot,Won
 13 - 11 - 2010,Liga,FC Barcelona,Villarreal,Villarreal,83,3,1,,Left foot,Won
 7 - 11 - 2009,Liga,FC Barcelona,Real Mallorca,Real Mallorca,87,4,1,Penalty,Left foot,Won
 25 - 10 - 2009,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,80,5,1,Field goal,Left foot,Won
 24 - 2 - 2008,Liga,FC Barcelona,Levante,Levante,44,2,1,,Left foot,Won
 26 - 9 - 2007,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,11,2,1,,Left foot,Won
 10 - 3 - 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,90,3,3,,Left foot,Draw
 10 - 3 - 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,28,2,2,Rebound,Left foot,Draw
 10 - 3 - 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,11,1,1,,Left foot,Draw
 18 - 2 - 2006,Liga,FC Barcelona,Real Betis,Real Betis,85,5,1,Rebound,Left foot,Won
 15 - 1 - 2006,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,51,2,1,Rebound,Left foot,Won
 20 - 1 - 2019,Liga,FC Barcelona,Leganes,Leganes,90+2,3,1,Field goal,Right foot,Won
 2 - 9 - 2018,Liga,FC Barcelona,Huesca,Huesca,16,1,1,Field goal,Right foot,Won
 9 - 9 - 2017,Liga,FC Barcelona,Espanyol,Espanyol,35,2,0,Field goal,Right foot,Won
 21 - 5 - 2017,Liga,FC Barcelona,Eibar,Eibar,90+2,4,2,Solo run,Right foot,Won
 5 - 4 - 2017,Liga,FC Barcelona,Sevilla,Sevilla,28,2,0,Field goal,Right foot,Won
 19 - 3 - 2017,Liga,FC Barcelona,Valencia,Valencia,53,3,2,Field goal,Right foot,Won
 1 - 3 - 2017,Liga,FC Barcelona,Sporting Gijon,Sporting Gijon,9,1,0,Field goal,Head,Won
 19 - 2 - 2017,Liga,FC Barcelona,Leganes,Leganes,4,1,0,Field goal,Right foot,Won
 14 - 1 - 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,52,2,0,Rebound,Right foot,Won
 23 - 4 - 2016,Liga,FC Barcelona,Sporting Gijon,Sporting Gijon,12,1,0,Rebound,Head,Won
 17 - 4 - 2016,Liga,FC Barcelona,Valencia,Valencia,63,1,2,Field goal,Right foot,Lost
 30 - 12 - 2015,Liga,FC Barcelona,Real Betis,Real Betis,33,2,0,Field goal,Right foot,Won
 23 - 5 - 2015,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,59,2,0,,Right foot,Draw
 23 - 5 - 2015,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,5,1,0,,Head,Draw
 15 - 2 - 2015,Liga,FC Barcelona,Levante,Levante,59,3,0,,Right foot,Won
 15 - 2 - 2015,Liga,FC Barcelona,Levante,Levante,38,2,0,,Right foot,Won
 1 - 2 - 2015,Liga,FC Barcelona,Villarreal,Villarreal,55,3,2,,Right foot,Won
 20 - 12 - 2014,Liga,FC Barcelona,Cordoba,Cordoba,90+1,5,0,,Right foot,Won
 20 - 12 - 2014,Liga,FC Barcelona,Cordoba,Cordoba,82,4,0,,Right foot,Won
 7 - 12 - 2014,Liga,FC Barcelona,Espanyol,Espanyol,81,5,1,,Right foot,Won
 7 - 12 - 2014,Liga,FC Barcelona,Espanyol,Espanyol,50,2,1,,Right foot,Won
 22 - 11 - 2014,Liga,FC Barcelona,Sevilla,Sevilla,72,4,1,,Right foot,Won
 27 - 9 - 2014,Liga,FC Barcelona,Granada,Granada,82,6,0,,Right foot,Won
 27 - 9 - 2014,Liga,FC Barcelona,Granada,Granada,62,4,0,,Head,Won
 5 - 4 - 2014,Liga,FC Barcelona,Real Betis,Real Betis,86,3,1,Rebound,Right foot,Won
 26 - 3 - 2014,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,30,2,0,,Right foot,Won
 16 - 3 - 2014,Liga,FC Barcelona,Osasuna,Osasuna,88,6,0,,Right foot,Won
 24 - 9 - 2013,Liga,FC Barcelona,Real Sociedad,Real Sociedad,8,2,0,,Head,Won
 27 - 1 - 2013,Liga,FC Barcelona,Osasuna,Osasuna,11,1,0,,Right foot,Won
 1 - 12 - 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,70,5,1,,Right foot,Won
 19 - 11 - 2011,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,43,2,0,,Right foot,Won
 29 - 10 - 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,21,2,0,,Right foot,Won
 15 - 10 - 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,68,3,0,,Right foot,Won
 15 - 10 - 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,11,1,0,,Right foot,Won
 29 - 8 - 2011,Liga,FC Barcelona,Villarreal,Villarreal,52,4,0,,Right foot,Won
 23 - 4 - 2011,Liga,FC Barcelona,Osasuna,Osasuna,87,2,0,,Right foot,Won
 20 - 2 - 2011,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,78,2,1,,Right foot,Won
 13 - 11 - 2010,Liga,FC Barcelona,Villarreal,Villarreal,58,2,1,,Right foot,Won
 16 - 5 - 2010,Liga,FC Barcelona,Real Valladolid,Real Valladolid,62,3,0,,Right foot,Won
 4 - 5 - 2010,Liga,FC Barcelona,Tenerife,Tenerife,90+3,4,1,,Right foot,Won
 4 - 5 - 2010,Liga,FC Barcelona,Tenerife,Tenerife,17,1,0,,Right foot,Won
 14 - 3 - 2010,Liga,FC Barcelona,Valencia,Valencia,83,3,0,,Right foot,Won
 27 - 2 - 2010,Liga,FC Barcelona,Malaga,Malaga,84,2,1,Field goal,Right foot,Won
 19 - 9 - 2009,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,90+4,5,2,,Right foot,Won
 22 - 3 - 2009,Liga,FC Barcelona,Malaga,Malaga,25,2,0,,Right foot,Won
 24 - 1 - 2009,Liga,FC Barcelona,Numancia,Numancia,76,4,1,Rebound,Right foot,Won
 9 - 6 - 2007,Liga,FC Barcelona,Espanyol,Espanyol,57,2,1,,Right foot,Draw
 9 - 6 - 2007,Liga,FC Barcelona,Espanyol,Espanyol,43,1,1,,Hand,Draw
 15 - 10 - 2006,Liga,FC Barcelona,Sevilla,Sevilla,81,3,1,,Right foot,Won
 18 - 9 - 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,87,4,0,Field goal,Right foot,Won
 14 - 3 - 2018,Champions League,FC Barcelona,Chelsea,Chelsea,3,1,0,Field goal,Right foot,Won
 17 - 8 - 2016,,FC Barcelona,Sevilla,Sevilla,55,3,0,Field goal,Head,Won
 6 - 5 - 2015,Champions League,FC Barcelona,Bayern Munchen,Bayern Munchen,80,2,0,,Right foot,Won
 10 - 12 - 2014,Champions League,FC Barcelona,Paris Saint-Ger- 5 -n,Paris Saint-Ger- 5 -n,19,1,1,,Right foot,Won
 19 - 9 - 2012,Champions League,FC Barcelona,Spartak Moscow,Spartak Moscow,80,3,2,,Head,Won
 7 - 3 - 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,49,3,0,,Right foot,Won
 4 - 1 - 2012,,FC Barcelona,Osasuna,Osasuna,73,3,0,,Head,Won
 17 - 8 - 2011,,FC Barcelona,Real Madrid,Real Madrid,45,2,1,Field goal,Right foot,Won
 21 - 8 - 2010,,FC Barcelona,Sevilla,Sevilla,43,3,0,,Right foot,Won
 6 - 4 - 2010,Champions League,FC Barcelona,Arsenal,Arsenal,37,2,1,,Right foot,Won
 23 - 8 - 2009,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,50,1,0,,Right foot,Won
